transaction_id,customer_id,product_id,product_category,amount,date
133,19,92796,health and wellness,960.56,13-6-2024
134,59,84167,pet products,3593.61,22-4-2024
135,14,99491,fashion and apparel,6450.08,15-4-2024
136,58,48478,media,6249.79,12-10-2024
137,60,3798,furniture and decor,1275.03,28-7-2024
138,47,71796,drink,2486.91,6-6-2024
139,55,58642,cosmetics and bodycare,2898.52,16-5-2024
140,68,94505,furniture and decor,7162.63,5-4-2024
141,38,84686,fashion and apparel,5831.15,3-10-2024
142,16,38984,health and wellness,6171.45,10-3-2024
143,9,80016,drink,103.49,18-8-2024
144,76,30338,digital services,9693.57,25-4-2024
145,37,73444,food and beverage,7077.46,8-7-2024
146,27,81696,media,3659.06,15-7-2024
147,47,1457,shoes,4674.26,26-1-2024
148,34,69200,media,1696.93,19-7-2024
149,84,84150,fashion and apparel,4273.32,10-4-2024
150,58,94208,electronics,2748.5,2-8-2024
151,68,44650,health and wellness,2593.66,14-9-2024
152,59,6054,cosmetics and bodycare,7729.07,2-2-2024
153,55,49294,office equipment,3562.9,25-1-2024
154,26,54273,drink,2554.98,20-3-2024
155,29,15269,food and beverage,2044.73,20-4-2024
156,52,44282,food and beverage,7165.06,27-11-2024
157,88,48253,cosmetics and bodycare,4866.01,12-2-2024
158,35,90866,drink,997.37,14-11-2024
159,33,80596,electronics,3463.38,4-9-2024
160,6,63330,drink,7151.55,4-11-2024
161,1,26690,health and wellness,4992.59,6-2-2024
162,19,35240,digital services,6447.71,20-7-2024
163,37,30208,shoes,6208.42,7-1-2024
164,50,46839,furniture and decor,9604.74,5-11-2024
165,29,14962,fashion and apparel,5080.44,6-8-2024
166,90,12923,food and beverage,5350.41,20-11-2024
167,74,37256,health and wellness,9952.24,26-6-2024
168,11,25806,health and wellness,8833.52,26-7-2024
169,52,18085,office equipment,154.41,2-12-2024
170,22,70989,media,3618.01,7-4-2024
171,31,2760,food and beverage,8586.38,17-2-2024
172,11,78613,fashion and apparel,3268.56,1-12-2024
173,60,56929,furniture and decor,7212.95,15-3-2024
174,34,62254,toys and hobbies,8426.55,19-6-2024
175,92,595,toys and hobbies,8189.94,5-9-2024
176,17,61183,cosmetics and bodycare,7367.02,6-12-2024
177,26,33536,drink,4250.65,17-4-2024
178,95,31899,digital services,5762.71,8-3-2024
179,10,76023,digital services,4286.7,8-9-2024
180,18,15260,media,4443.49,11-3-2024
181,64,83945,digital services,5504.86,23-3-2024
182,80,46228,health and wellness,8027.78,12-5-2024
183,5,28884,office equipment,9181.23,16-6-2024
184,58,96236,electronics,8551.77,16-7-2024
185,56,62653,furniture and decor,2623.5,6-8-2024
186,52,83009,drink,3663.63,22-5-2024
187,34,3989,food and beverage,4497.39,16-1-2024
188,16,1457,shoes,4674.26,26-10-2024
189,76,60646,pet products,4814.72,26-6-2024
190,74,38604,drink,8740.86,17-1-2024
191,57,75246,electronics,3452.35,4-3-2024
192,81,44006,drink,465.57,23-6-2024
193,89,90572,shoes,484.25,15-7-2024
194,18,21470,fashion and apparel,472.82,18-7-2024
195,92,84533,fashion and apparel,3391.09,24-11-2024
196,67,82313,pet products,9960.6,6-2-2024
197,90,11029,media,9161.1,16-8-2024
198,69,17704,furniture and decor,7203.11,10-9-2024
199,27,81228,health and wellness,5493.45,24-6-2024
200,47,31899,digital services,5762.71,16-7-2024
201,42,45880,fashion and apparel,5247.06,17-10-2024
202,59,10544,fashion and apparel,2996.68,22-10-2024
203,83,53140,food and beverage,3178.48,24-11-2024
204,6,99308,health and wellness,1938.19,8-2-2024
205,6,95655,shoes,4489.04,12-12-2024
206,92,36935,drink,2381.65,6-12-2024
207,85,35484,health and wellness,8229.9,22-5-2024
208,91,65333,fashion and apparel,6248.33,11-9-2024
209,91,2996,toys and hobbies,8830.12,7-2-2024
210,64,67022,media,5561.03,13-12-2024
211,14,84320,office equipment,4872.39,4-6-2024
212,2,40017,furniture and decor,4513.64,19-3-2024
213,37,8001,pet products,3695.67,2-8-2024
214,11,64714,cosmetics and bodycare,5655.68,19-10-2024
215,31,92609,cosmetics and bodycare,8994.84,19-1-2024
216,8,39338,media,2165.73,27-1-2024
217,90,4909,electronics,9053.13,20-6-2024
218,77,84123,shoes,4031.38,15-7-2024
219,30,34159,pet products,2828.5,21-10-2024
220,79,10744,electronics,3720.7,15-9-2024
221,23,43857,media,4305.34,13-12-2024
222,79,30028,office equipment,4663.22,23-8-2024
223,31,60534,shoes,3577.51,21-10-2024
224,34,64714,cosmetics and bodycare,5655.68,2-5-2024
225,22,64498,shoes,7762.83,11-1-2024
226,55,42958,media,6678.04,11-7-2024
227,63,13338,toys and hobbies,7760.52,13-5-2024
228,50,24302,shoes,2498.36,18-6-2024
229,10,10521,cosmetics and bodycare,2356.57,22-1-2024
230,95,46359,toys and hobbies,824.72,3-10-2024
231,10,64333,pet products,7681.81,22-5-2024
232,54,96005,pet products,2969.91,5-12-2024
233,35,68951,furniture and decor,2985.47,13-12-2024
234,96,15065,drink,2052.89,7-12-2024
235,18,44515,toys and hobbies,4292.91,4-4-2024
236,19,88481,drink,9473.45,21-2-2024
237,84,23963,media,8168.54,18-1-2024
238,36,49680,fashion and apparel,1074.87,3-9-2024
239,37,19711,digital services,9988.68,6-9-2024
240,50,96235,electronics,3089.45,25-8-2024
241,93,7867,drink,1359.57,2-6-2024
242,60,64714,cosmetics and bodycare,5655.68,1-10-2024
243,69,92659,food and beverage,1292.76,8-9-2024
244,83,71908,fashion and apparel,5307.68,17-10-2024
245,30,23736,shoes,5325.57,4-5-2024
246,79,51561,drink,1324.58,8-11-2024
247,53,87530,pet products,6322.92,24-9-2024
248,90,21732,shoes,3532.97,10-4-2024
249,96,2996,toys and hobbies,8830.12,18-2-2024
250,11,92223,cosmetics and bodycare,2521.63,5-11-2024
251,57,82855,furniture and decor,6818.9,14-6-2024
252,40,16873,digital services,1514.32,1-11-2024
253,22,4785,media,4448.27,17-2-2024
254,42,33002,media,6515.46,13-1-2024
255,53,91371,media,6089.22,1-10-2024
256,54,15065,drink,2052.89,11-9-2024
257,90,84276,drink,2455.97,7-7-2024
258,55,37429,media,4077.91,24-4-2024
259,65,48281,cosmetics and bodycare,308.09,27-11-2024
260,45,73416,health and wellness,9551.76,23-10-2024
261,15,14747,furniture and decor,6738.09,14-6-2024
262,75,41883,fashion and apparel,3907.16,4-4-2024
263,69,29372,digital services,3954.46,20-8-2024
264,54,69581,food and beverage,9297.66,26-5-2024
265,10,41373,furniture and decor,5762.36,17-3-2024
266,9,20516,electronics,8755.21,4-9-2024
267,22,93476,media,9672.51,11-10-2024
268,97,31367,fashion and apparel,6559.02,10-11-2024
269,20,99447,electronics,4646.63,2-11-2024
270,43,34050,drink,7027.32,4-1-2024
271,96,82855,furniture and decor,6818.9,14-10-2024
272,19,15338,toys and hobbies,4269.32,15-12-2024
273,70,42521,furniture and decor,6595.46,18-3-2024
274,82,76843,fashion and apparel,7126.15,14-12-2024
275,2,78048,furniture and decor,2300.8,19-4-2024
276,92,82061,shoes,3747.53,1-11-2024
277,13,51080,electronics,3077.44,28-1-2024
278,99,33283,office equipment,1746.37,26-7-2024
279,62,32988,media,2386.4,14-10-2024
280,10,96828,pet products,7585.57,4-2-2024
281,32,10838,furniture and decor,7160.51,16-6-2024
282,32,33837,shoes,6834.43,16-2-2024
283,94,95639,food and beverage,2143.61,23-6-2024
284,78,54353,digital services,7609.47,15-10-2024
285,55,39189,furniture and decor,8470.21,24-1-2024
286,50,72711,health and wellness,288.23,22-6-2024
287,33,70857,electronics,3613.38,20-11-2024
288,90,41894,toys and hobbies,5270.85,10-10-2024
289,12,32732,office equipment,2722.98,26-5-2024
290,40,7867,drink,1359.57,12-1-2024
291,37,56410,media,1938.17,4-9-2024
292,98,44006,drink,465.57,5-12-2024
293,96,70884,toys and hobbies,7705.78,14-1-2024
294,18,1472,pet products,1442.58,23-10-2024
295,7,92317,food and beverage,1636.41,3-12-2024
296,31,5782,office equipment,1068.19,6-3-2024
297,84,69302,cosmetics and bodycare,8192.48,15-3-2024
298,41,28748,media,4584.7,1-7-2024
299,20,92609,cosmetics and bodycare,8994.84,12-4-2024
300,70,74789,food and beverage,9459.34,4-11-2024
301,10,12959,electronics,7544.05,27-8-2024
302,92,6266,shoes,3875.91,25-8-2024
303,33,82895,toys and hobbies,1288.34,25-6-2024
304,84,96477,media,5192.38,26-9-2024
305,85,77400,health and wellness,3663.57,2-4-2024
306,96,93476,media,9672.51,3-9-2024
307,11,6198,cosmetics and bodycare,5946.43,8-10-2024
308,74,32057,toys and hobbies,2662.84,3-9-2024
309,66,18317,electronics,5399.83,17-10-2024
310,18,13255,furniture and decor,1360.76,1-12-2024
311,32,57229,electronics,6410.32,20-11-2024
312,50,91209,drink,7335.73,28-11-2024
313,27,65448,fashion and apparel,7263.17,4-1-2024
314,8,8836,office equipment,3265.33,28-1-2024
315,41,24653,drink,1196.12,6-1-2024
316,99,48253,cosmetics and bodycare,4866.01,14-9-2024
317,67,39070,toys and hobbies,618.25,9-3-2024
318,79,57732,toys and hobbies,9059.48,12-7-2024
319,71,34447,toys and hobbies,5016.48,16-4-2024
320,85,90839,food and beverage,5538.15,24-2-2024
321,99,39902,office equipment,2731.24,2-2-2024
322,51,72946,health and wellness,5513.46,6-4-2024
323,71,97058,pet products,1728.31,13-5-2024
324,88,49294,office equipment,3562.9,12-10-2024
325,30,40358,media,2661.74,3-5-2024
326,26,72775,electronics,2313.22,13-6-2024
327,64,30208,shoes,6208.42,22-8-2024
328,36,28830,food and beverage,3311.42,3-5-2024
329,42,21470,fashion and apparel,472.82,27-7-2024
330,71,39338,media,2165.73,22-9-2024
331,71,64597,furniture and decor,1626.79,22-6-2024
332,34,32130,health and wellness,9076.06,22-4-2024
333,99,65633,toys and hobbies,1880.59,4-1-2024
334,99,53589,toys and hobbies,9378.05,17-6-2024
335,62,17704,furniture and decor,7203.11,8-1-2024
336,9,28571,cosmetics and bodycare,1784.59,5-9-2024
337,80,13593,toys and hobbies,4590.37,12-9-2024
338,80,17176,office equipment,9748.55,10-11-2024
339,91,67969,fashion and apparel,309.65,5-8-2024
340,15,99313,shoes,7585.83,16-2-2024
341,63,35252,fashion and apparel,1698.16,16-12-2024
342,45,14547,digital services,8389.13,28-11-2024
343,59,74116,electronics,3766.51,13-5-2024
344,54,52219,electronics,3116.36,24-1-2024
345,72,95639,food and beverage,2143.61,3-9-2024
346,36,858,drink,5633.95,18-11-2024
347,43,63809,toys and hobbies,1866.71,2-8-2024
348,89,43885,furniture and decor,5016.28,27-2-2024
349,84,13318,fashion and apparel,7606.82,3-11-2024
350,35,18704,food and beverage,2820.35,25-5-2024
351,14,41894,toys and hobbies,5270.85,10-1-2024
352,60,75246,electronics,3452.35,18-10-2024
353,69,78450,toys and hobbies,2738.33,28-10-2024
354,49,79778,office equipment,1891.98,13-6-2024
355,56,78890,digital services,1290.02,11-8-2024
356,85,55456,drink,2506.01,20-7-2024
357,12,92690,media,6905.61,28-12-2024
358,84,19711,digital services,9988.68,13-8-2024
359,97,72394,electronics,4049.86,27-12-2024
360,64,71346,office equipment,9397.82,2-4-2024
361,43,13656,health and wellness,7992.03,5-2-2024
362,25,48514,food and beverage,820.88,27-12-2024
363,63,20985,fashion and apparel,4559.38,20-5-2024
364,92,13482,fashion and apparel,5523.64,10-7-2024
365,50,23281,furniture and decor,9848.39,15-5-2024
366,93,24653,drink,1196.12,26-11-2024
367,64,27009,cosmetics and bodycare,7860.25,15-8-2024
368,65,7867,drink,1359.57,2-12-2024
369,36,38699,food and beverage,7708.68,20-9-2024
370,80,96235,electronics,3089.45,2-9-2024
371,43,50366,shoes,2946.57,3-12-2024
372,61,82855,furniture and decor,6818.9,18-10-2024
373,84,77400,health and wellness,3663.57,25-12-2024
374,66,47477,electronics,1991.77,3-10-2024
375,42,54004,toys and hobbies,787.86,4-12-2024
376,95,6363,fashion and apparel,7396.74,21-10-2024
377,82,28713,fashion and apparel,6732.89,18-3-2024
378,36,53140,food and beverage,3178.48,3-1-2024
379,46,81906,office equipment,7121.18,20-12-2024
380,5,27851,health and wellness,6658.59,9-9-2024
381,79,81097,pet products,9851.25,2-5-2024
382,5,53140,food and beverage,3178.48,5-11-2024
383,85,57732,toys and hobbies,9059.48,7-5-2024
384,19,7016,health and wellness,1802.9,1-12-2024
385,55,96559,shoes,8883.44,7-5-2024
386,82,46563,toys and hobbies,9466.41,7-1-2024
387,18,63097,digital services,980.02,12-8-2024
388,100,53613,toys and hobbies,9372.79,11-4-2024
389,67,91655,food and beverage,5249.21,10-6-2024
390,96,90277,fashion and apparel,8917.34,4-7-2024
391,23,37635,drink,3263.84,28-5-2024
392,74,7888,digital services,2669.87,17-7-2024
393,72,91111,furniture and decor,4931.28,23-2-2024
394,48,97480,electronics,9145.45,8-12-2024
395,52,67969,fashion and apparel,309.65,17-5-2024
396,97,3798,furniture and decor,1275.03,23-9-2024
397,65,28544,fashion and apparel,7910.47,15-12-2024
398,18,84150,fashion and apparel,4273.32,6-11-2024
399,25,23934,shoes,5019.5,5-2-2024
400,20,62653,furniture and decor,2623.5,8-5-2024
401,28,40408,electronics,553.13,25-6-2024
402,22,57615,electronics,3271.01,18-5-2024
403,53,27009,cosmetics and bodycare,7860.25,15-8-2024
404,76,60075,digital services,2803.05,4-9-2024
405,44,84494,cosmetics and bodycare,3749.68,4-7-2024
406,25,84120,office equipment,5383.7,17-1-2024
407,54,1286,pet products,3576.11,12-7-2024
408,88,90572,shoes,484.25,2-2-2024
409,30,35484,health and wellness,8229.9,18-1-2024
410,15,73739,drink,7717.42,10-8-2024
411,84,74455,office equipment,6512.44,24-7-2024
412,85,99308,health and wellness,1938.19,25-10-2024
413,77,78714,furniture and decor,2765.92,20-2-2024
414,30,52689,furniture and decor,2163.88,16-4-2024
415,79,79508,digital services,3823.11,4-1-2024
416,6,34110,pet products,7382.72,15-4-2024
417,18,86275,toys and hobbies,1743.16,4-9-2024
418,51,76381,drink,6878.78,6-11-2024
419,87,37429,media,4077.91,18-9-2024
420,45,63431,digital services,6551.45,2-12-2024
421,41,83725,electronics,4687.17,3-6-2024
422,81,92238,furniture and decor,999.52,26-1-2024
423,51,60646,pet products,4814.72,19-1-2024
424,50,93233,pet products,7434.36,23-7-2024
425,44,57404,digital services,3455.19,9-3-2024
426,15,27071,drink,4598.65,24-4-2024
427,81,20330,shoes,4829.97,17-6-2024
428,31,6249,fashion and apparel,4855.83,8-4-2024
429,64,49680,fashion and apparel,1074.87,27-10-2024
430,88,56368,food and beverage,1041.94,16-8-2024
431,13,63118,electronics,8588.38,27-5-2024
432,12,3204,office equipment,8703.49,2-7-2024
433,75,43857,media,4305.34,7-11-2024
434,6,69807,furniture and decor,7131.86,4-1-2024
435,45,76819,pet products,7051.34,2-7-2024
436,74,66807,fashion and apparel,4657.38,9-7-2024
437,84,31208,pet products,7126.85,18-6-2024
438,96,88395,food and beverage,877.62,8-11-2024
439,78,3989,food and beverage,4497.39,20-5-2024
440,61,66923,health and wellness,5455.12,7-8-2024
441,10,27009,cosmetics and bodycare,7860.25,11-10-2024
442,85,2439,furniture and decor,9655.04,23-7-2024
443,86,41883,fashion and apparel,3907.16,12-3-2024
444,81,73497,media,2092.21,22-4-2024
445,87,66040,drink,9509.68,21-9-2024
446,56,36968,food and beverage,6820.91,17-9-2024
447,15,67286,food and beverage,278.6,22-4-2024
448,30,99491,fashion and apparel,6450.08,3-2-2024
449,15,98331,drink,3541.98,8-2-2024
450,66,39189,furniture and decor,8470.21,2-4-2024
451,97,48495,electronics,2600.9,7-12-2024
452,83,69807,furniture and decor,7131.86,28-12-2024
453,18,64597,furniture and decor,1626.79,19-1-2024
454,30,39204,pet products,4263.72,12-2-2024
455,73,4590,furniture and decor,2020.71,7-7-2024
456,18,99964,electronics,1470.79,2-2-2024
457,13,78605,health and wellness,7198.14,5-12-2024
458,15,79508,digital services,3823.11,3-2-2024
459,66,11466,furniture and decor,4447.69,26-5-2024
460,23,84686,fashion and apparel,5831.15,7-4-2024
461,6,12594,toys and hobbies,6698.7,5-7-2024
462,27,58333,shoes,5371.37,4-8-2024
463,59,89612,fashion and apparel,281.91,27-5-2024
464,16,79536,media,2393.07,21-6-2024
465,15,87560,office equipment,6460.24,18-1-2024
466,56,14020,cosmetics and bodycare,3510.76,24-11-2024
467,37,52784,food and beverage,2177.3,24-7-2024
468,64,88541,furniture and decor,8216.9,26-9-2024
469,89,23323,pet products,2338.63,10-12-2024
470,28,65665,health and wellness,2006.83,2-10-2024
471,3,13693,food and beverage,2886.03,14-1-2024
472,42,13652,electronics,3524.09,24-12-2024
473,26,3204,office equipment,8703.49,4-9-2024
474,53,49027,pet products,3120.44,2-10-2024
475,25,9402,furniture and decor,4937.75,18-10-2024
476,13,44578,cosmetics and bodycare,8195.55,26-12-2024
477,59,57404,digital services,3455.19,16-12-2024
478,89,93483,toys and hobbies,1576.65,22-6-2024
479,79,704,fashion and apparel,2756.84,13-10-2024
480,16,985,media,3818.95,11-4-2024
481,45,95003,electronics,7938.66,3-2-2024
482,1,55461,fashion and apparel,8690.08,25-6-2024
483,48,3737,fashion and apparel,853.53,8-12-2024
484,51,93233,pet products,7434.36,14-5-2024
485,39,89940,office equipment,7289.57,5-8-2024
486,71,96005,pet products,2969.91,4-3-2024
487,70,32186,shoes,1417.14,16-4-2024
488,31,80284,media,2185.69,3-11-2024
489,97,34050,drink,7027.32,14-3-2024
490,91,7102,fashion and apparel,509.91,27-1-2024
491,34,50576,fashion and apparel,4890.99,9-12-2024
492,8,44511,office equipment,9354.7,22-5-2024
493,13,13535,food and beverage,3981.46,28-11-2024
494,82,63330,drink,7151.55,27-6-2024
495,42,11475,office equipment,1603.03,25-2-2024
496,81,921,electronics,9116.65,21-12-2024
497,35,24437,media,4479.29,13-5-2024
498,4,17885,health and wellness,2889.51,11-12-2024
499,5,20330,shoes,4829.97,7-6-2024
500,96,33837,shoes,6834.43,16-12-2024
501,57,56294,furniture and decor,5687.56,25-3-2024
502,46,42177,toys and hobbies,3896.39,15-10-2024
503,46,43912,media,8689.83,12-2-2024
504,58,32929,fashion and apparel,1538.68,24-2-2024
505,3,18713,food and beverage,6057.36,16-3-2024
506,38,63344,media,3766.02,23-10-2024
507,84,78525,toys and hobbies,4800.74,21-12-2024
508,17,15393,electronics,9407.05,12-1-2024
509,13,16871,electronics,9007.42,18-5-2024
510,55,2253,cosmetics and bodycare,1155.79,3-1-2024
511,18,67603,health and wellness,7249.99,16-10-2024
512,10,7473,food and beverage,503.25,19-3-2024
513,6,27727,food and beverage,4025.54,10-2-2024
514,96,87977,furniture and decor,2659.48,6-12-2024
515,98,2760,food and beverage,8586.38,22-6-2024
516,78,77648,drink,5878.53,1-5-2024
517,100,46228,health and wellness,8027.78,16-2-2024
518,5,9031,drink,3505.42,15-12-2024
519,50,33463,toys and hobbies,3265.86,5-3-2024
520,29,78613,fashion and apparel,3268.56,13-10-2024
521,70,84352,fashion and apparel,2046.08,2-6-2024
522,99,5782,office equipment,1068.19,1-1-2024
523,64,7016,health and wellness,1802.9,28-12-2024
524,77,55620,fashion and apparel,1025.3,11-1-2024
525,40,28713,fashion and apparel,6732.89,2-8-2024
526,7,99416,electronics,6927.4,28-8-2024
527,16,30189,furniture and decor,5143.75,24-12-2024
528,30,46384,media,7825.92,25-4-2024
529,11,1167,pet products,8651.76,23-11-2024
530,94,54273,drink,2554.98,18-8-2024
531,22,76081,food and beverage,5815.55,15-12-2024
532,96,76081,food and beverage,5815.55,16-5-2024
533,11,42958,media,6678.04,8-1-2024
534,11,82895,toys and hobbies,1288.34,12-5-2024
535,71,63079,digital services,270.17,1-1-2024
536,50,62137,toys and hobbies,6342.9,12-1-2024
537,78,53613,toys and hobbies,9372.79,7-7-2024
538,63,61653,health and wellness,3819.39,18-11-2024
539,33,16419,pet products,3899.38,11-12-2024
540,48,7473,food and beverage,503.25,3-6-2024
541,47,80016,drink,103.49,16-11-2024
542,55,24437,media,4479.29,6-5-2024
543,32,55513,pet products,4312.79,5-6-2024
544,99,73169,fashion and apparel,4210.92,5-4-2024
545,77,44511,office equipment,9354.7,8-8-2024
546,50,46662,drink,3708.41,2-3-2024
547,23,78439,digital services,2162.4,27-8-2024
548,28,33442,furniture and decor,6673.18,26-12-2024
549,79,39824,health and wellness,786.09,27-12-2024
550,19,9925,health and wellness,4410.38,4-8-2024
551,24,18085,office equipment,154.41,27-9-2024
552,70,96477,media,5192.38,8-2-2024
553,75,78439,digital services,2162.4,24-1-2024
554,57,50143,electronics,9765.57,3-11-2024
555,68,37670,health and wellness,9455.19,12-12-2024
556,52,11605,furniture and decor,9660.52,23-9-2024
557,10,55624,toys and hobbies,4175.43,18-7-2024
558,35,65333,fashion and apparel,6248.33,22-3-2024
559,32,49444,shoes,6916.38,8-1-2024
560,51,11023,food and beverage,2666.13,21-4-2024
561,88,36968,food and beverage,6820.91,28-6-2024
562,82,81097,pet products,9851.25,4-2-2024
563,88,76381,drink,6878.78,4-2-2024
564,60,12959,electronics,7544.05,2-2-2024
565,69,96559,shoes,8883.44,24-5-2024
566,55,5941,media,6024.51,6-4-2024
567,48,62782,drink,5980.61,4-4-2024
568,23,53009,food and beverage,7045.62,22-7-2024
569,61,32732,office equipment,2722.98,21-2-2024
570,96,64244,cosmetics and bodycare,7395.9,21-7-2024
571,9,80455,shoes,6566.7,27-9-2024
572,63,2439,furniture and decor,9655.04,15-10-2024
